customer_id,address_id,job_id,wealth_id,first_name,last_name,gender,DOB,deceased_indicator
1,1,1,1,Laraine,Medendorp,F,1953-10-12,N
2,2,2,1,Eli,Bockman,Male,1980-12-16,N
3,3,3,2,Arlin,Dearle,Male,1954-01-20,N
4,4,4,3,Talbot,,Male,1961-10-03,N
5,5,5,4,Sheila-kathryn,Calton,Female,1977-05-13,N
6,6,6,5,Curr,Duckhouse,Male,1966-09-16,N
7,7,7,6,Fina,Merali,Female,1976-02-23,N
8,8,8,7,Rod,Inder,Male,1962-03-30,N
9,9,9,8,Mala,Lind,Female,1973-03-10,N
10,10,10,9,Fiorenze,Birdall,Female,1988-10-11,N
11,11,11,10,Uriah,Bisatt,Male,1954-04-30,N
12,12,12,11,Sawyere,Flattman,Male,1994-07-21,N
13,13,13,5,Gabriele,Norcross,Male,1955-02-15,N
14,14,14,12,Rayshell,Kitteman,Female,1983-03-25,N
15,15,15,13,Erroll,Radage,Male,2000-07-13,N
16,16,16,14,Harlin,Parr,Male,1977-02-27,N
17,17,17,4,Heath,Faraday,Male,1962-03-19,N
18,18,18,15,Marjie,Neasham,Female,1967-07-06,N
19,19,19,16,Sorcha,Keyson,Female,2001-04-15,N
20,20,20,17,Basile,Firth,Male,1980-08-13,N
21,21,21,18,Mile,Cammocke,Male,1980-09-20,N
22,22,4,19,Deeanne,Durtnell,Female,1962-12-10,N
23,23,0,20,Olav,Polak,Male,1995-02-10,N
24,24,22,9,Kim,Skpsey,Female,1977-12-03,N
25,25,23,21,Geoff,Assaf,Male,1976-12-02,N
26,26,24,22,Trixi,Ginnelly,Female,1978-06-10,N
27,27,25,14,Garvin,Klees,Male,1978-09-25,N
28,28,26,4,Fee,Zellmer,Male,1973-09-30,N
29,29,27,13,Mona,Sancraft,Female,1968-06-22,N
30,30,4,8,Darrick,Helleckas,Male,1961-10-18,N
31,31,28,23,Star,Praton,Female,1962-11-24,N
32,32,29,15,Marion,Vanichkin,Female,1995-04-20,N
33,33,30,24,Ernst,Hacon,Male,1957-06-25,N
34,34,31,12,Jephthah,Bachmann,U,1843-12-21,N
35,35,32,25,Margaretha,Strettle,Female,1963-09-28,N
36,36,33,15,Lurette,Stonnell,Female,1977-11-09,N
37,37,34,26,Laurie,Dwerryhouse,Female,1985-12-22,N
38,38,35,27,Cordi,Merman,Female,1955-10-29,N
39,39,36,11,Hunfredo,Smalley,Male,1979-04-16,N
40,40,37,28,Tomasine,Jerche,Female,1981-10-27,N
41,41,38,29,Basilius,Coupe,Male,1976-04-14,N
42,42,39,10,Chiquita,Durnall,Female,1977-03-28,N
43,43,40,3,Indira,Belt,Female,1983-03-01,N
44,44,36,4,Neron,Verick,Male,1981-10-18,N
45,45,41,13,Trace,Woodhead,Male,1975-09-23,N
